sol.name	symbol	entrez	transcript
EGFL7_1_11111	EGFL7	51162	NM_016215.4;NM_201446.2;NR_045110.1;NR_045111.1;NR_046367.1
EGFR_1_00011	EGFR	1956	NM_005228.3
EGLN1_1_01011	EGLN1	54583	NM_022051.2
EGLN2_1_0111	EGLN2	112398	NM_053046.3;NM_080732.3
EGR1_1_11011	EGR1	1958	NM_001964.2
EGR2_1_0101	EGR2	1959	NM_000399.3;NM_001136177.1;NM_001136178.1;NM_001136179.1
EGR3_1_11111	EGR3	1960	NM_001199880.1;NM_001199881.1;NM_004430.2
EHBP1_1_11001	EHBP1	23301	NM_001142614.1;NM_001142615.2;NM_001142616.1;NM_015252.3
EHHADH_1_110000	EHHADH	1962	NM_001166415.1;NM_001966.3
EHHADH_2_001110	EHHADH	1962	NM_001166415.1;NM_001966.3
EHMT1_1_11101	EHMT1	79813	NM_024757.4;NM_001145527.1;NM_001145527.1
EHMT2_1_1101	EHMT2	10919	NM_006709.3;NM_025256.5
EID2_1_1011	EID2	163126	NM_153232.3
EIF2AK1_1_11111	EIF2AK1	27102	NM_001134335.1;NM_014413.3
EIF2AK2_1_11001	EIF2AK2	5610	NM_001135651.2;NM_001135652.2;NM_002759.3
EIF2AK3_1_11111	EIF2AK3	9451	NM_004836.5
EIF2B1_1_1111	EIF2B1	1967	NM_001414.3
EIF2B2_1_1011	EIF2B2	8892	NM_014239.3
EIF2B3_1_10111	EIF2B3	8891	NM_001166588.1;NM_020365.3
EIF2B4_1_11	EIF2B4	8890	NM_001034116.1;NM_015636.3;NM_172195.3
EIF2B5_1_1110	EIF2B5	8893	NM_003907.2
EIF2C2_1_1001	EIF2C2	27161	NM_001164623.1;NM_012154.3
EIF2C2_2_0110	EIF2C2	27161	NM_001164623.1;NM_012154.3
EIF2C4_1_11011	EIF2C4	192670	NM_017629.3
EIF2D_1_10110	EIF2D	1939	NM_006893.2;NM_001201478.1;NM_001201478.1
EIF2S2_1_11101	EIF2S2	8894	NM_003908.3
EIF3E_1_10100	EIF3E	3646	NM_001568.2
EIF3F_1_101111111	EIF3F	8665	NM_003754.2
EIF3G_1_11111	EIF3G	8666	NM_003755.3
EIF3H_1_10110	EIF3H	8667	NM_003756.2
EIF3I_1_1111	EIF3I	8668	NM_003757.2
EIF3J_1_01010	EIF3J	8669	NM_003758.2
EIF4A1_1_11111	EIF4A1	1973	NM_001204510.1;NM_001416.3
EIF4A3_1_11101	EIF4A3	9775	NM_014740.3
EIF4B_1_1010	EIF4B	1975	NM_001417.4
EIF4E_1_11010	EIF4E	1977	NM_001130678.1;NM_001130679.1;NM_001968.3
EIF4G1_1_0101	EIF4G1	1981	NM_001194946.1;NM_001194947.1;NM_004953.4;NM_182917.4;NM_198241.2;NM_198242.2;NM_198244.2
EIF5AL1_1_111	EIF5AL1	143244	NM_001099692.1
EIF5A_1_1111	EIF5A	1984	NM_001143760.1;NM_001143761.1;NM_001143762.1;NM_001970.4
EIF5B_1_1111	EIF5B	9669	NM_015904.3
EIF6_1_11101	EIF6	3692	NM_002212.2;NM_181466.1;NM_181468.1
ELAC1_1_11011	ELAC1	55520	NM_018696.2
ELAC2_1_1110	ELAC2	60528	NM_001165962.1;NM_018127.6;NM_173717.1
ELAVL1_1_11101	ELAVL1	1994	NM_001419.2
ELAVL2_1_10011	ELAVL2	1993	NM_001171195.1;NM_001171197.1;NM_004432.3
ELF1_1_111	ELF1	1997	NM_001145353.1;NM_172373.3
ELF5_1_1100	ELF5	2001	NM_001422.3;NM_198381.1
ELL_1_10101	ELL	8178	NM_006532.3
ELMO2_1_10111	ELMO2	63916	NM_133171.3;NM_182764.1
ELMO3_1_00111	ELMO3	79767	NM_024712.3
ELMOD1_1_11	ELMOD1	55531	NM_001130037.1;NM_018712.3
ELP3_1_1110	ELP3	55140	NM_018091.5
ELP4_1_1110	ELP4	26610	NM_019040.3
EMD_1_1011	EMD	2010	NM_000117.2
EME1_1_0111	EME1	146956	NM_001166131.1;NM_152463.2
EML2_1_0110	EML2	24139	NM_001193268.1;NM_001193269.1;NM_012155.2;NR_034098.1
EMP2_1_011001	EMP2	2013	NM_001424.4
EMP2_2_100110	EMP2	2013	NM_001424.4
EMR1_1_10010	EMR1	2015	NM_001256252.1;NM_001256253.1;NM_001256254.1;NM_001256255.1;NM_001974.4
EMR2_1_000101	EMR2	30817	NM_013447.2;NM_152916.1;NM_152917.1;NM_152918.1;NM_152919.1;NM_152920.1;NM_152921.1
EMR3_1_10010	EMR3	84658	NM_032571.3
EMX1_1_1101	EMX1	2016	NM_004097.2
EMX2_1_01011	EMX2	2018	NM_001165924.1;NM_004098.3
EN2_1_01111	EN2	2020	NM_001427.3
ENAH_1_0010110	ENAH	55740	NM_001008493.1;NM_018212.4
ENAH_2_1101001	ENAH	55740	NM_001008493.1;NM_018212.4
ENAM_1_01001	ENAM	10117	NM_031889.2
ENC1_1_01110	ENC1	8507	NM_001256574.1;NM_001256575.1;NM_001256576.1;NM_003633.3
ENO1_1_11111	ENO1	2023	NM_001428.3;NM_001201483.1;NM_001201483.1;NM_001201483.1;NM_001201483.1
ENPP2_1_1101	ENPP2	5168	NM_001040092.2;NM_001130863.2;NM_006209.4;NR_045555.1
ENPP3_1_01110	ENPP3	5169	NM_005021.3
ENPP5_1_01101	ENPP5	59084	NM_021572.4
ENPP6_1_0101	ENPP6	133121	NM_153343.3
ENSA_1_10011	ENSA	2029	NM_004436.2;NM_207042.1;NM_207045.1;NM_207046.1;NM_207043.1;NM_207044.1;NM_207047.1;NM_207043.1;NM_207044.1;NM_207047.1
ENTPD2_1_00111	ENTPD2	954	NM_001246.3;NM_203468.2
ENTPD3_1_1110	ENTPD3	956	NM_001248.2
ENTPD5_1_11101	ENTPD5	957	NM_001249.2
EOMES_1_0110	EOMES	8320	NM_005442.2
EP300_1_101100	EP300	2033	NM_001429.3
EPAS1_1_01100	EPAS1	2034	NM_001430.4
EPB41L1_1_10101	EPB41L1	2036	NM_012156.2;NM_177996.1
EPB41_1_01001	EPB41	2035	NM_001166005.1;NM_001166006.1;NM_001166007.1;NM_004437.3;NM_203342.2;NM_203343.2
EPC1_1_1101	EPC1	80314	NM_025209.2
EPCAM_1_1101	EPCAM	4072	NM_002354.2
EPHA4_1_0111	EPHA4	2043	NM_004438.3
EPHA5_1_0111	EPHA5	2044	NM_004439.5;NM_182472.2
EPHA6_1_111111	EPHA6	285220	NM_001080448.2;NM_173655.2
EPHA7_1_111	EPHA7	2045	NM_004440.3
EPHA8_1_11001	EPHA8	2046	NM_020526.3;NM_001006943.1
EPHB1_1_10010	EPHB1	2047	NM_004441.4
EPM2A_1_0111	EPM2A	7957	NM_001018041.1;NM_005670.3
EPRS_1_10100	EPRS	2058	NM_004446.2
EPS15L1_1_10101	EPS15L1	58513	NM_021235.1
EPS15_1_0011	EPS15	2060	NM_001159969.1;NM_001981.2
EPS8_1_00111	EPS8	2059	NM_004447.5
EPX_1_01110	EPX	8288	NM_000502.4
EPX_2_10001	EPX	8288	NM_000502.4
ERBB2IP_1_0110	ERBB2IP	55914	NM_001006600.2;NM_001253697.1;NM_001253698.1;NM_001253699.1;NM_001253701.1;NM_018695.3
ERBB2_1_101	ERBB2	2064	NM_001005862.1;NM_004448.2
ERBB3_1_111110	ERBB3	2065	NM_001982.3
ERCC1_1_010111	ERCC1	2067	NM_001166049.1;NM_001983.3;NM_202001.2
ERCC2_1_1010	ERCC2	2068	NM_000400.3
ERCC6L_1_1101	ERCC6L	54821	NM_017669.2
ERCC6_1_10011	ERCC6	2074	NM_000124.2
ERCC6_2_01100	ERCC6	2074	NM_000124.2
ERCC8_1_10011	ERCC8	1161	NM_000082.3
ERF_1_11110	ERF	2077	NM_006494.2
ERG_1_01111	ERG	2078	NM_001136154.1;NM_001136155.1;NM_001243428.1;NM_001243429.1;NM_001243432.1;NM_004449.4;NM_182918.3
ERH_1_00011	ERH	2079	NM_004450.2
ERH_2_11000	ERH	2079	NM_004450.2
ERI1_1_10010	ERI1	90459	NM_153332.3
ERLIN2_1_11	ERLIN2	11160	NM_007175.6
ERP29_1_1111	ERP29	10961	NM_006817.3;NM_001034025.1;NM_001034025.1
ERP44_1_10110	ERP44	23071	NM_015051.1
ERP44_2_01001	ERP44	23071	NM_015051.1
ERVFRD-1_1_01111	ERVFRD-1	405754	NM_207582.2
ERVW-1_1_11111	ERVW-1	30816	NM_001130925.1;NM_014590.3
ESCO1_1_1110	ESCO1	114799	NM_052911.2
ESM1_1_11100	ESM1	11082	NM_001135604.1;NM_007036.4
ESPL1_1_1110	ESPL1	9700	NM_012291.4
ESRRA_1_11110	ESRRA	2101	NM_004451.3
ESX1_1_01111	ESX1	80712	NM_153448.3
ETFDH_1_11111	ETFDH	2110	NM_004453.2
ETNK1_1_01100	ETNK1	55500	NM_001039481.1;NM_018638.4
ETV1_1_10111	ETV1	2115	NM_001163147.1;NM_001163148.1;NM_001163149.1;NM_001163150.1;NM_001163151.1;NM_001163152.1;NM_004956.4
ETV6_1_11000	ETV6	2120	NM_001987.4
ETV7_1_11100	ETV7	51513	NM_001207035.1;NM_001207036.1;NM_001207037.1;NM_001207038.1;NM_001207039.1;NM_016135.3;NM_001207040.1;NM_001207041.1;NM_001207040.1;NM_001207041.1
EVPL_1_111	EVPL	2125	NM_001988.2
EVX1_1_11111	EVX1	2128	NM_001989.3
EWSR1_1_1100	EWSR1	2130	NM_001163285.1;NM_001163286.1;NM_001163287.1;NM_005243.3;NM_013986.3
EWSR1_2_0011	EWSR1	2130	NM_001163285.1;NM_001163286.1;NM_001163287.1;NM_005243.3;NM_013986.3
EXO1_1_10101	EXO1	9156	NM_003686.4;NM_006027.4;NM_130398.3
EXOC2_1_11100	EXOC2	55770	NM_018303.4
EXOSC1_1_00110	EXOSC1	51013	NM_016046.3
EXOSC2_1_011001	EXOSC2	23404	NM_014285.5
EXOSC4_1_00110	EXOSC4	54512	NM_019037.2
EXOSC8_1_0101	EXOSC8	11340	NM_181503.2
EXOSC9_1_11001	EXOSC9	5393	NM_001034194.1;NM_005033.2
EYS_1_11100	EYS	346007	NM_001142800.1;NM_001142801.1;NM_198283.1
EZH2_1_00101	EZH2	2146	NM_001203247.1;NM_001203248.1;NM_001203249.1;NM_004456.4;NM_152998.2
EZR_1_11110	EZR	7430	NM_001111077.1;NM_003379.4
F11R_1_0111	F11R	50848	NM_016946.4
F2RL1_1_10100	F2RL1	2150	NM_005242.4
F2_1_11001	F2	2147	NM_000506.3
F3_1_1101	F3	2152	NM_001178096.1;NM_001993.4
F9_1_11111	F9	2158	NM_000133.3
FABP1_1_111	FABP1	2168	NM_001443.2
FADS6_1_100111	FADS6	283985	NM_178128.3
FAF1_1_11111	FAF1	11124	NM_007051.2
FAF2_1_1010	FAF2	23197	NM_014613.2
FAHD1_1_01001	FAHD1	81889	NM_001018104.2;NM_001142398.1;NM_031208.3
FAM108A1_1_1110	FAM108A1	81926	NM_001130111.1;NM_031213.3
FAM120A_1_11001	FAM120A	23196	NM_014612.3
FAM122C_1_110	FAM122C	159091	NM_001170780.1;NM_001170782.1;NM_001170783.1;NM_001170784.1
FAM131B_1_11	FAM131B	9715	NM_001031690.2;NM_014690.4
FAM13A_1_11111	FAM13A	10144	NM_001015045.1;NM_014883.2
FAM175A_1_11	FAM175A	84142	NM_139076.2
FAM177A1_1_11	FAM177A1	283635	NM_001079519.1;NM_173607.3
FAM18A_1_1111	FAM18A	780776	NM_001079512.2
FAM207A_1_111	FAM207A	85395	NM_058190.2
FAM20A_1_11	FAM20A	54757	NM_001243746.1;NM_017565.3;NR_027751.1
FAM212B_1_110100	FAM212B	55924	NM_019099.4;NM_198926.2
FAM213A_1_11	FAM213A	84293	NM_001243778.1;NM_001243779.1;NM_001243780.1;NM_001243781.1;NM_001243782.1;NM_032333.4
FAM35A_1_01011	FAM35A	54537	NM_019054.2
FAM35B2_1_1011	FAM35B2	439965	NR_027634.1
FAM35B_1_1011	FAM35B	414241	NR_027632.1
FAM3C_1_1011	FAM3C	10447	NM_001040020.1;NM_014888.2
FAM59B_1_11	FAM59B	150946	NM_001191033.1
FANCD2_1_110001	FANCD2	2177	NM_033084.3;NM_001018115.1
FANCD2_2_000110	FANCD2	2177	NM_001018115.1;NM_033084.3
FARS2_1_10111	FARS2	10667	NM_006567.3
FASN_1_10010	FASN	2194	NM_004104.4
FAS_1_10101	FAS	355	NM_000043.4;NM_152871.2;NR_028033.2;NR_028034.2;NR_028035.2;NR_028036.2;NM_152872.2;NM_152872.2
FAT2_1_10101	FAT2	2196	NM_001447.2
FAT4_1_111101010	FAT4	79633	NM_024582.4
FAT4_2_000010101	FAT4	79633	NM_024582.4
FAU_1_110	FAU	2197	NM_001997.4
FBLN1_1_11010	FBLN1	2192	NM_001996.3;NM_006485.3;NM_006486.2;NM_006487.2
FBN2_1_1110	FBN2	2201	NM_001999.3
FBP2_1_11111	FBP2	8789	NM_003837.2
FBXL19_1_0111	FBXL19	54620	NM_001099784.2
FBXL20_1_001110	FBXL20	84961	NM_001184906.1;NM_032875.2
FBXL2_1_11111	FBXL2	25827	NM_001171713.1;NM_012157.3
FBXL5_1_11100	FBXL5	26234	NM_001193534.1;NM_001193535.1;NM_012161.3;NR_036464.1
FBXO11_1_01111	FBXO11	80204	NM_001190274.1;NM_025133.4
FBXO15_1_1110	FBXO15	201456	NM_001142958.1;NM_152676.2
FBXO17_1_00111	FBXO17	115290	NM_024907.5;NM_148169.1
FBXO18_1_00101	FBXO18	84893	NM_032807.3;NM_178150.1
FBXO21_1_0111	FBXO21	23014	NM_015002.2;NM_033624.2
FBXO24_1_00111	FBXO24	26261	NM_001163499.1;NM_012172.4;NM_033506.2
FBXO27_1_11011	FBXO27	126433	NM_178820.3
FBXO34_1_11111	FBXO34	55030	NM_017943.3;NM_152231.1
FBXO3_1_10010	FBXO3	26273	NM_012175.3;NM_033406.2
FBXO3_2_01101	FBXO3	26273	NM_012175.3;NM_033406.2
FBXO5_1_11110	FBXO5	26271	NM_001142522.1;NM_012177.3
FBXO9_1_01011	FBXO9	26268	NM_012347.4;NM_033480.2;NM_033481.3
FBXW11_1_11001	FBXW11	23291	NM_012300.2;NM_033644.2;NM_033645.2
FBXW2_1_110	FBXW2	26190	NM_012164.3
FBXW4P1_1_00011	FBXW4P1	26226	NR_033408.1
FBXW7_1_1110	FBXW7	55294	NM_001013415.1;NM_018315.4;NM_033632.3
FCER1A_1_01110	FCER1A	2205	NM_002001.3
FCGBP_1_01110	FCGBP	8857	NM_003890.2
FCGR1A_1_00110	FCGR1A	2209	NM_000566.3
FCGR2A_1_1111100	FCGR2A	2212	NM_001136219.1;NM_021642.3
FCGR2B_1_111111001	FCGR2B	2213	NM_001002273.2;NM_001002274.2;NM_001002275.2;NM_001190828.1;NM_004001.4
FCGR2C_1_1110101	FCGR2C	9103	NM_201563.4
FCRL5_1_10111	FCRL5	83416	NM_001195388.1;NM_031281.2
FCRLA_1_01110	FCRLA	84824	NM_001184866.1;NM_001184867.1;NM_001184870.1;NM_001184871.1;NM_001184872.1;NM_001184873.1;NM_032738.3
FDPSL2A_1_1110	FDPSL2A	619190	NR_003262.1
FDPS_1_10100	FDPS	2224	NM_001135821.1;NM_001135822.1;NM_001242824.1;NM_001242825.1;NM_002004.3
FDX1_1_01011	FDX1	2230	NM_004109.4
FECH_1_01111	FECH	2235	NM_000140.3;NM_001012515.2
FERMT1_1_10010	FERMT1	55612	NM_017671.4
FER_1_10010	FER	2241	NM_005246.2
FETUB_1_0111	FETUB	26998	NM_014375.2
FFAR2_1_10101	FFAR2	2867	NM_005306.2
FFAR3_1_0111000011	FFAR3	2865	NM_005304.3
FGD1_1_11000	FGD1	2245	NM_004463.2
FGD4_1_001110	FGD4	121512	NM_139241.2
FGD5_1_01010	FGD5	152273	NM_152536.3
FGF12_1_11110	FGF12	2257	NM_004113.5;NM_021032.4
FGF13_1_1111	FGF13	2258	NM_001139498.1;NM_001139500.1;NM_001139501.1;NM_001139502.1;NM_004114.3;NM_033642.2
FGF17_1_1110	FGF17	8822	NM_003867.2
FGF21_1_1111	FGF21	26291	NM_019113.2
FGF22_1_11111	FGF22	27006	NM_020637.1
FGF3_1_0111	FGF3	2248	NM_005247.2
FGF8_1_01101	FGF8	2253	NM_001206389.1;NM_006119.4;NM_033163.3;NM_033164.3;NM_033165.3
FGFR1_1_1100	FGFR1	2260	NM_001174063.1;NM_001174064.1;NM_001174065.1;NM_001174066.1;NM_001174067.1;NM_015850.3;NM_023105.2;NM_023106.2;NM_023110.2
FGFR3_1_111	FGFR3	2261	NM_000142.4;NM_001163213.1;NM_022965.3
FGG_1_10111	FGG	2266	NM_000509.4;NM_021870.2
FHIT_1_1111	FHIT	2272	NM_001166243.1;NM_002012.2
FH_1_1011	FH	2271	NM_000143.3
FIP1L1_1_00111	FIP1L1	81608	NM_001134937.1;NM_001134938.1;NM_030917.3
FKBP1A-SDCBP2_1_10111	FKBP1A-SDCBP2	100528031	NR_037661.1
FKBP1A_1_111	FKBP1A	2280	NM_000801.4;NM_001199786.1;NM_054014.3
FKBP9L_1_10111010	FKBP9L	360132	NR_003949.1;NR_027339.1;NR_027340.1;NR_027342.1
FKBP9_1_1011010110	FKBP9	11328	NM_007270.3
FLCN_1_1101	FLCN	201163	NM_144606.5;NM_144997.5
FLG2_1_11001	FLG2	388698	NM_001014342.2
FLJ40852_1_01111	FLJ40852	285962	NR_015392.1
FLNB_1_01110	FLNB	2317	NM_001164317.1;NM_001164318.1;NM_001164319.1;NM_001457.3
FLT1_1_11110	FLT1	2321	NM_002019.4;NM_001159920.1;NM_001160030.1;NM_001160031.1
FLT3_1_0010001	FLT3	2322	NM_004119.2
FLT3_2_1001010	FLT3	2322	NM_004119.2
FMNL1_1_00111	FMNL1	752	NM_005892.3
FN3K_1_01100	FN3K	64122	NM_022158.3
FNDC3B_1_01110	FNDC3B	64778	NM_001135095.1;NM_022763.3
FNTA_1_11000	FNTA	2339	NM_002027.2;NR_033698.1
FOSB_1_1111	FOSB	2354	NM_006732.2;NM_001114171.1;NM_001114171.1;NM_001114171.1
FOSL2_1_11011	FOSL2	2355	NM_005253.3
FOXA1_1_11011	FOXA1	3169	NM_004496.2
FOXA3_1_11100	FOXA3	3171	NM_004497.2
FOXB1_1_1011	FOXB1	27023	NM_012182.2
FOXC1_1_1010111	FOXC1	2296	NM_001453.2
FOXD1_1_01011	FOXD1	2297	NM_004472.2
FOXD2_1_01010	FOXD2	2306	NM_004474.3
FOXD2_2_10001	FOXD2	2306	NM_004474.3
FOXD3_1_01101	FOXD3	27022	NM_012183.2
FOXD4L2_1_0100111111111	FOXD4L2	349334	NM_001099279.1
FOXD4L3_1_0101101000010100	FOXD4L3	286380	NM_199135.4
FOXD4L3_2_0000000011001011	FOXD4L3	286380	NM_199135.4
FOXD4L4_1_0100111111111	FOXD4L4	349334	NM_199244.2
FOXD4L5_1_0101100111111	FOXD4L5	653427	NM_001126334.1
FOXD4L6_1_0101101000010100	FOXD4L6	653404	NM_001085476.1
FOXD4L6_2_0000000011001011	FOXD4L6	653404	NM_001085476.1
FOXE3_1_1011	FOXE3	2301	NM_012186.2
FOXH1_1_0111	FOXH1	8928	NM_003923.2
FOXI1_1_110	FOXI1	2299	NM_012188.4;NM_144769.2
FOXK1_1_11	FOXK1	221937	NM_001037165.1
FOXK2_1_01010	FOXK2	3607	NM_004514.3
FOXL1_1_000101	FOXL1	2300	NM_005250.2
FOXL2_1_10101	FOXL2	668	NM_023067.3
FOXM1_1_00111	FOXM1	2305	NM_001243088.1;NM_001243089.1;NM_021953.3;NM_202002.2;NM_202003.2
FOXO3B_1_100011	FOXO3B	2310	NR_026718.1
FOXO3_1_100011	FOXO3	2309	NM_001455.3;NM_201559.2
FOXP2_1_01011	FOXP2	93986	NM_001172766.2;NM_014491.3;NM_148898.3;NM_148900.3;NR_033766.1;NR_033767.1;NM_001172767.2;NM_148899.3
FOXR1_1_11111	FOXR1	283150	NM_181721.2
FOXS1_1_00110	FOXS1	2307	NM_004118.3
FPGS_1_00110	FPGS	2356	NM_001018078.1;NM_004957.4
FPGT_1_10111	FPGT	8790	NM_003838.3;NM_001199328.1;NM_001199329.1;NM_001199328.1;NM_001199329.1;NM_001199328.1;NM_001199329.1
FPR3_1_1110	FPR3	2359	NM_002030.3
FRAS1_1_1110	FRAS1	80144	NM_001166133.1;NM_025074.6
FRAT1_1_1011	FRAT1	10023	NM_005479.3
FREM1_1_01010	FREM1	158326	NM_001177704.1;NM_144966.5
FRK_1_1111	FRK	2444	NM_002031.2
FRMPD2P1_1_11	FRMPD2P1	728798	NR_033172.1
FRMPD2_1_11001	FRMPD2	143162	NM_001018071.3;NM_001042512.2
FRMPD2_2_00110	FRMPD2	143162	NM_001018071.3;NM_001042512.2
FTH1P3_1_111	FTH1P3	2498	NR_002201.1
FTSJ2_1_01010	FTSJ2	29960	NM_013393.1
FUBP1_1_1110	FUBP1	8880	NM_003902.3
FUBP3_1_11111	FUBP3	8939	NM_003934.1
FURIN_1_11011	FURIN	5045	NM_002569.2
FUS_1_110111	FUS	2521	NM_001170634.1;NM_001170937.1;NM_004960.3;NR_028388.2
FUT11_1_1100	FUT11	170384	NM_173540.2
FUT6_1_0110010000	FUT6	2528	NM_000150.2;NM_001040701.1
FUT6_2_1001000010	FUT6	2528	NM_000150.2;NM_001040701.1
FUT8_1_11001	FUT8	2530	NM_004480.4;NM_178155.2;NM_178156.2;NR_038167.1;NR_038170.1
FXN_1_0110111	FXN	2395	NM_000144.4;NM_181425.2;NM_001161706.1;NM_001161706.1
FXR2_1_11001	FXR2	9513	NM_004860.3
FXR2_2_00110	FXR2	9513	NM_004860.3
FXYD1_1_11111	FXYD1	5348	NM_005031.3;NM_021902.2
FXYD2_1_11010	FXYD2	486	NM_001680.4;NM_021603.3
FXYD2_2_00101	FXYD2	486	NM_001680.4;NM_021603.3
FXYD7_1_01011	FXYD7	53822	NM_022006.1
FYN_1_11111	FYN	2534	NM_002037.5;NM_153047.3;NM_153048.3;NM_153047.3;NM_153048.3;NM_153047.3;NM_153048.3;NM_153047.3;NM_153048.3
FZD3_1_0001010	FZD3	7976	NM_017412.3;NM_145866.1
FZD4_1_00011	FZD4	8322	NM_012193.3
FZD4_2_11100	FZD4	8322	NM_012193.3
FZD8_1_10110	FZD8	8325	NM_031866.2
FZD9_1_00101	FZD9	8326	NM_003508.2
G2E3_1_1101	G2E3	55632	NM_017769.3
G3BP1_1_1111	G3BP1	10146	NM_005754.2;NM_198395.1
G3BP2_1_1100	G3BP2	9908	NM_012297.4;NM_203504.2;NM_203505.2
G6PC2_1_11100	G6PC2	57818	NM_001081686.1;NM_021176.2
GAB1_1_11111	GAB1	2549	NM_002039.3;NM_207123.2
GABBR2_1_0111	GABBR2	9568	NM_005458.7
GABPB1_1_11111	GABPB1	2553	NM_002041.4;NM_005254.5;NM_016654.4;NM_016655.4;NM_181427.3
GABRA3_1_11001	GABRA3	2556	NM_000808.3
GABRB2_1_0111	GABRB2	2561	NM_000813.2;NM_021911.2
GABRB3_1_10010	GABRB3	2562	NM_000814.5;NM_001191320.1;NM_001191321.1;NM_021912.4
GABRQ_1_1010	GABRQ	55879	NM_018558.2
GABRR3_1_1111	GABRR3	200959	NM_001105580.2
GAD2_1_1110	GAD2	2572	NM_000818.2;NM_001134366.1;NM_001134366.1
GADD45G_1_0101	GADD45G	10912	NM_006705.3
GAK_1_10011	GAK	2580	NM_005255.2
GAL3ST4_1_01111	GAL3ST4	79690	NM_024637.4
GALE_1_01110	GALE	2582	NM_000403.3;NM_001008216.1;NM_001127621.1
GALK2_1_111	GALK2	2585	NM_001001556.1;NM_002044.2
GALNS_1_0110	GALNS	2588	NM_000512.4
GALNT13_1_0011	GALNT13	114805	NM_052917.2
GALNT3_1_11111	GALNT3	2591	NM_004482.3
GALNT4_1_10111	GALNT4	8693	NM_003774.4
GALNT6_1_11000	GALNT6	11226	NM_007210.3
GALNT7_1_01011	GALNT7	51809	NM_017423.2
GALNTL4_1_11100	GALNTL4	374378	NM_198516.2
GALNTL5_1_00110	GALNTL5	168391	NM_145292.3;NR_033169.1
GALR2_1_01111	GALR2	8811	NM_003857.2
GAL_1_0111	GAL	51083	NM_015973.3
GAMT_1_01011	GAMT	2593	NM_000156.5;NM_138924.2;NM_138924.2
GAMT_2_10100	GAMT	2593	NM_000156.5;NM_138924.2
GAP43_1_10001	GAP43	2596	NM_001130064.1;NM_002045.3
GAPDHS_1_1110	GAPDHS	26330	NM_014364.4
GAPDH_1_01110	GAPDH	2597	NM_001256799.1;NM_002046.4
GAPDH_2_10001	GAPDH	2597	NM_001256799.1;NM_002046.4
GARS_1_00111	GARS	2617	NM_002047.2
GARS_2_11000	GARS	2617	NM_002047.2
GATA4_1_11111	GATA4	2626	NM_002052.3
GATA6_1_1010	GATA6	2627	NM_005257.3
GATAD1_1_01111	GATAD1	57798	NM_021167.3
GATAD2A_1_1111	GATAD2A	54815	NM_017660.3
GATM_1_10011	GATM	2628	NM_001482.2
GBA2_1_11111	GBA2	57704	NM_020944.2
GBA_1_1111	GBA	2629	NM_000157.3;NM_001005741.2;NM_001005742.2;NM_001171811.1;NM_001171812.1
GBX1_1_011110111	GBX1	2636	NM_001098834.1
GBX2_1_1011	GBX2	2637	NM_001485.2
GCFC1_1_11111	GCFC1	94104	NM_013329.3;NM_016631.3;NR_027873.1
GCH1_1_00110	GCH1	2643	NM_000161.2;NM_001024024.1;NM_001024070.1;NM_001024071.1
GCKR_1_10101	GCKR	2646	NM_001486.3
GCLC_1_10011	GCLC	2729	NM_001197115.1;NM_001498.3
GCLM_1_1110000	GCLM	2730	NM_002061.2
GCM1_1_11011	GCM1	8521	NM_003643.3
GCNT2_1_10010	GCNT2	2651	NM_145649.4;NM_001491.2;NM_145655.3
GDF10_1_1110	GDF10	2662	NM_004962.3
GDF11_1_1111	GDF11	10220	NM_005811.3
GDF15_1_11101	GDF15	9518	NM_004864.2
GDF2_1_11001	GDF2	2658	NM_016204.1
GDPD2_1_11111	GDPD2	54857	NM_001171191.1;NM_001171192.1;NM_001171193.1;NM_017711.3
GDPD5_1_00111	GDPD5	81544	NM_030792.6
GEMIN2_1_10010	GEMIN2	8487	NM_001009182.1;NM_001009183.1;NM_003616.2
GEN1_1_11111	GEN1	348654	NM_001130009.1;NM_182625.3
GFOD1_1_1100	GFOD1	54438	NM_001242628.1;NM_001242630.1;NM_018988.3;NM_001242629.1
GFOD2_1_10111	GFOD2	81577	NM_030819.3;NR_027398.1;NM_001243650.1
GFPT1_1_1100000	GFPT1	2673	NM_001244710.1;NM_002056.3
GFPT1_2_0011011	GFPT1	2673	NM_001244710.1;NM_002056.3
GFPT2_1_10101	GFPT2	9945	NM_005110.2
GGH_1_11010	GGH	8836	NM_003878.2
GGPS1_1_101111	GGPS1	9453	NM_001037277.1;NR_036605.1
GGT1_1_10100111110	GGT1	2678	NM_001032364.2;NM_001032365.2;NM_005265.2;NM_013430.2
GGT2_1_110001	GGT2	728441	XM_001129377.3;XM_003118822.1
GGT3P_1_11011111	GGT3P	2679	NR_003267.1
GGTLC1_1_011101	GGTLC1	92086	NM_178311.2;NM_178312.2
GGTLC2_1_111	GGTLC2	91227	NM_199127.2
GH1_1_001110	GH1	2688	NM_000515.3;NM_022559.2;NM_022560.2;NM_022561.2;NM_022562.2
GH2_1_110111	GH2	2689	NM_002059.3;NM_022556.2;NM_022557.2;NM_022558.2
GHSR_1_1101	GHSR	2693	NM_004122.2;NM_198407.2
GIF_1_11110	GIF	2694	NM_005142.2
GIMAP1-GIMAP5_1_1001010	GIMAP1-GIMAP5	100527949	NM_001199577.1
GIMAP4_1_0111	GIMAP4	55303	NM_018326.2
GIMAP5_1_10101	GIMAP5	55340	NM_018384.4
